13 31 21 30 36 3 11 23 27 30 0 -1 31 0 35 13 3 25 5 3 28 4 32 35 35 1 12 21 11 20 0 8 0 27 37 12 28 35 6 11 5 24 7 19 5 16 29 14 1 -1 8 16 32 16 28 11 18 9 34 7 39 11 14 38 18 20 25 15 15 16 12 4 29 12 6 31 9 3 27 14 -1 12 5 11 25 1 20 28 18 13 0 32 26 24 13 38 31 5 16 27 20 21 30 0 15 29 13 21 29 8 20 28 27 39 8 39 4 -1 33 33 8 25 27 28 8 16 20 11 12 23 1 26 24 36 23 7 28 37 32 2 28 10 16 1 3 18 3 7 30 26 21 18 13 18 34 8 12 23 8 33 10 18 2 -1 14 29 32 15 3 10 11 27 24 4 28 39 30 5 23 14 6 31 24 36 16 23 3 16 2 19 32 13 31 26 19 24 2 32 24 3 13 35 34 7 18 24 25 18 14 2 39 35 33 20 22 15 12 37 25 8 18 3 5 26 19 1 15 4 8 24 8 31 29 31 -1 32 27 9 10 8 26 8 18 2 6 11 5 22 29 17 29 18 0 30 18 24 36 33 10 0 39 10 34 32 19 11 4 1 26 21 32 7 16 5 8 19 36 22 38 2 22 16 36 32 6 14 37 38 10 10 0 2 12 0 14 39 32 4 4 8 37 36 24 16 28 14 39 -1 2 -1 10 22 8 3 9 4 21 7 33 4 26 18 34 16 7 39 4 37 10 17 23 31 31 10 36 11 22 1 8 37 33 7 0 9 37 10 31 5 15 15 29 21 2 34 34 39 14 9 17 30 4 0 24 16 21 33 11 19 23 15 38 11 13 12 16 14 11 12 2 1 37 38 29 20 5 -1 30 25 14 7 15 35 10 11 3 35 27 4 19 26 36 25 20 38 7 18 14 2 11 
29 20 20 31 13 35 0 36 1 17 28 20 38 0 13 36 10 34 19 25 28 3 22 1 32 36 10 30 31 18 6 34 14 2 29 37 15 -1 2 2 30 14 6 31 14 22 15 27 25 16 27 11 20 11 11 23 1 -1 2 0 32 9 16 34 38 3 13 38 18 3 14 35 37 29 14 2 0 34 24 22 24 16 31 8 23 25 14 0 19 5 26 15 29 38 21 16 9 31 24 39 12 18 38 20 2 25 16 5 4 23 11 21 16 38 29 32 2 24 25 24 21 19 0 31 31 34 17 16 12 4 19 1 33 24 20 14 35 11 9 25 16 6 11 30 37 24 39 12 25 17 20 37 23 32 35 29 17 16 8 38 8 12 11 27 31 8 11 21 16 13 5 31 21 6 3 36 32 6 25 18 2 27 31 8 34 22 14 19 2 11 39 37 3 36 7 3 -1 21 18 1 2 37 1 35 29 1 1 5 18 4 12 23 4 -1 8 18 23 9 30 37 11 -1 17 0 38 37 8 35 31 35 15 10 12 27 20 19 25 8 31 12 22 30 26 4 3 33 20 30 33 26 2 37 -1 17 8 30 21 7 35 17 6 8 0 29 16 13 7 21 -1 35 38 0 26 32 39 34 0 25 38 0 22 37 18 36 29 0 31 7 6 10 10 6 38 20 9 0 25 15 20 -1 37 7 0 35 26 25 22 32 35 2 3 8 8 31 25 0 19 16 8 12 34 8 34 34 28 38 13 6 5 0 25 7 0 9 33 32 21 22 31 6 13 10 23 29 4 33 38 26 25 17 24 11 8 7 34 20 32 12 4 2 0 20 17 19 21 15 22 33 22 0 35 1 12 8 0 28 35 10 15 22 26 17 20 9 15 10 29 30 14 23 29 36 12 37 4 10 31 -1 6 0 11 36 4 4 0 34 4 7 25 
10 16 0 22 17 28 35 5 37 1 22 36 29 28 28 20 38 35 14 1 22 19 25 11 0 18 23 9 1 9 8 37 37 13 10 12 32 8 37 19 14 1 29 4 16 31 8 14 24 0 3 16 -1 0 38 5 33 19 13 34 26 4 10 -1 1 16 18 24 31 30 31 11 2 29 37 7 7 20 16 22 1 19 9 35 14 28 29 9 10 12 15 32 36 6 10 6 15 11 12 10 28 12 22 8 10 30 30 26 29 30 7 36 16 35 5 9 24 9 37 8 11 38 20 28 34 19 7 30 18 1 12 37 15 1 35 17 -1 8 37 32 14 13 4 8 31 11 22 3 4 17 25 24 8 10 0 15 4 26 14 6 2 0 19 36 27 9 0 30 36 22 8 36 21 29 30 39 6 5 -1 27 4 22 12 17 21 36 23 17 34 33 17 -1 12 0 23 13 27 0 37 16 8 32 0 11 9 20 17 5 13 10 7 13 24 14 34 13 33 25 33 25 39 24 6 15 1 35 9 18 21 12 30 25 34 37 13 13 2 0 17 5 39 33 22 24 36 23 23 10 0 29 13 37 13 2 23 2 31 19 5 9 5 29 22 -1 37 37 24 37 21 8 1 19 3 8 1 31 22 -1 19 3 36 24 24 11 18 28 20 2 26 7 5 1 15 19 20 19 14 20 14 30 9 20 14 38 2 28 4 36 5 17 5 34 -1 29 3 30 11 33 1 14 28 1 22 2 30 35 29 1 30 0 7 35 37 32 9 14 5 24 35 7 12 18 33 24 25 32 4 32 9 39 22 24 22 5 18 29 0 14 26 13 30 37 6 0 13 16 25 30 34 16 12 28 10 25 35 3 10 34 17 0 19 13 0 30 21 1 15 1 10 32 -1 25 29 31 23 31 20 18 37 8 10 16 34 7 31 22 7 17 27 
13 31 21 30 36 3 11 23 27 30 0 -1 31 0 35 13 3 25 5 3 28 4 32 35 35 1 12 21 11 20 0 8 0 27 37 12 28 35 6 11 5 24 7 19 5 16 29 14 1 -1 8 16 32 16 28 11 18 9 34 7 39 11 14 38 18 20 25 15 15 16 12 4 29 12 6 31 9 3 27 14 -1 12 5 11 25 1 20 28 18 13 0 32 26 24 13 38 31 5 16 27 20 21 30 0 15 29 13 21 29 8 20 28 27 39 8 39 4 -1 33 33 8 25 27 28 8 16 20 11 12 23 1 26 24 36 23 7 28 37 32 2 28 10 16 1 3 18 3 7 30 26 21 18 13 18 34 8 12 23 8 33 10 18 2 -1 14 29 32 15 3 10 11 27 24 4 28 39 30 5 23 14 6 31 24 36 16 23 3 16 2 19 32 13 31 26 19 24 2 32 24 3 13 35 34 7 18 24 25 18 14 2 39 35 33 20 22 15 12 37 25 8 18 3 5 26 19 1 15 4 8 24 8 31 29 31 -1 32 27 9 10 8 26 8 18 2 6 11 5 22 29 17 29 18 0 30 18 24 36 33 10 0 39 10 34 32 19 11 4 1 26 21 32 7 16 5 8 19 36 22 38 2 22 16 36 32 6 14 37 38 10 10 0 2 12 0 14 39 32 4 4 8 37 36 24 16 28 14 39 -1 2 -1 10 22 8 3 9 4 21 7 33 4 26 18 34 16 7 39 4 37 10 17 23 31 31 10 36 11 22 1 8 37 33 7 0 9 37 10 31 5 15 15 29 21 2 34 34 39 14 9 17 30 4 0 24 16 21 33 11 19 23 15 38 11 13 12 16 14 11 12 2 1 37 38 29 20 5 -1 30 25 14 7 15 35 10 11 3 35 27 4 19 26 36 25 20 38 7 18 14 2 11 
10 16 0 22 17 28 35 5 37 1 22 36 29 28 28 20 38 35 14 1 22 19 25 11 0 18 23 9 1 9 8 37 37 13 10 12 32 8 37 19 14 1 29 4 16 31 8 14 24 0 3 16 -1 0 38 5 33 19 13 34 26 4 10 -1 1 16 18 24 31 30 31 11 2 29 37 7 7 20 16 22 1 19 9 35 14 28 29 9 10 12 15 32 36 6 10 6 15 11 12 10 28 12 22 8 10 30 30 26 29 30 7 36 16 35 5 9 24 9 37 8 11 38 20 28 34 19 7 30 18 1 12 37 15 1 35 17 -1 8 37 32 14 13 4 8 31 11 22 3 4 17 25 24 8 10 0 15 4 26 14 6 2 0 19 36 27 9 0 30 36 22 8 36 21 29 30 39 6 5 -1 27 4 22 12 17 21 36 23 17 34 33 17 -1 12 0 23 13 27 0 37 16 8 32 0 11 9 20 17 5 13 10 7 13 24 14 34 13 33 25 33 25 39 24 6 15 1 35 9 18 21 12 30 25 34 37 13 13 2 0 17 5 39 33 22 24 36 23 23 10 0 29 13 37 13 2 23 2 31 19 5 9 5 29 22 -1 37 37 24 37 21 8 1 19 3 8 1 31 22 -1 19 3 36 24 24 11 18 28 20 2 26 7 5 1 15 19 20 19 14 20 14 30 9 20 14 38 2 28 4 36 5 17 5 34 -1 29 3 30 11 33 1 14 28 1 22 2 30 35 29 1 30 0 7 35 37 32 9 14 5 24 35 7 12 18 33 24 25 32 4 32 9 39 22 24 22 5 18 29 0 14 26 13 30 37 6 0 13 16 25 30 34 16 12 28 10 25 35 3 10 34 17 0 19 13 0 30 21 1 15 1 10 32 -1 25 29 31 23 31 20 18 37 8 10 16 34 7 31 22 7 17 27 
38 36 6 9 12 10 36 1 32 15 24 -1 4 8 7 31 32 32 19 0 6 21 22 27 30 19 27 15 8 37 20 0 33 15 16 23 6 35 26 28 5 29 29 33 12 0 26 38 20 10 9 14 16 33 18 30 32 36 11 19 13 33 12 4 13 0 17 19 6 11 12 3 8 16 36 13 14 20 4 22 0 9 6 35 29 17 4 27 19 19 17 7 34 31 32 13 36 24 13 35 7 33 11 22 30 9 4 8 14 15 -1 36 19 5 3 30 24 35 33 8 30 23 6 20 13 33 12 7 13 37 1 5 31 25 3 26 27 33 14 0 35 9 28 33 25 10 26 10 18 37 4 9 7 3 25 0 15 6 1 28 27 0 12 15 9 31 34 36 12 0 36 26 -1 30 36 37 5 -1 31 12 19 0 13 32 17 0 23 33 12 13 0 30 37 12 12 0 26 5 28 39 13 12 10 0 14 11 0 27 28 8 23 16 1 31 15 34 21 7 5 6 20 39 25 28 38 0 38 0 31 22 15 8 14 2 23 11 1 30 24 29 36 27 7 30 9 13 0 36 22 20 -1 31 10 34 28 8 19 24 39 38 -1 14 35 17 12 36 39 27 5 0 20 21 32 33 -1 36 23 20 33 38 32 21 32 37 31 12 26 23 20 35 12 25 26 10 28 22 28 34 33 16 21 26 9 26 24 23 26 26 1 23 4 0 8 23 12 19 32 26 18 17 35 12 12 33 14 11 29 5 3 24 2 36 5 31 21 4 15 7 34 3 36 7 1 17 8 34 23 3 14 38 7 32 9 0 38 5 21 27 8 20 33 1 10 10 39 19 16 25 27 3 36 35 19 38 28 25 21 12 26 6 12 15 0 27 32 18 22 15 1 -1 37 12 38 5 5 22 3 -1 18 14 29 12 11 25 9 12 31 34 35 
38 36 6 9 12 10 36 1 32 15 24 -1 4 8 7 31 32 32 19 0 6 21 22 27 30 19 27 15 8 37 20 0 33 15 16 23 6 35 26 28 5 29 29 33 12 0 26 38 20 10 9 14 16 33 18 30 32 36 11 19 13 33 12 4 13 0 17 19 6 11 12 3 8 16 36 13 14 20 4 22 0 9 6 35 29 17 4 27 19 19 17 7 34 31 32 13 36 24 13 35 7 33 11 22 30 9 4 8 14 15 -1 36 19 5 3 30 24 35 33 8 30 23 6 20 13 33 12 7 13 37 1 5 31 25 3 26 27 33 14 0 35 9 28 33 25 10 26 10 18 37 4 9 7 3 25 0 15 6 1 28 27 0 12 15 9 31 34 36 12 0 36 26 -1 30 36 37 5 -1 31 12 19 0 13 32 17 0 23 33 12 13 0 30 37 12 12 0 26 5 28 39 13 12 10 0 14 11 0 27 28 8 23 16 1 31 15 34 21 7 5 6 20 39 25 28 38 0 38 0 31 22 15 8 14 2 23 11 1 30 24 29 36 27 7 30 9 13 0 36 22 20 -1 31 10 34 28 8 19 24 39 38 -1 14 35 17 12 36 39 27 5 0 20 21 32 33 -1 36 23 20 33 38 32 21 32 37 31 12 26 23 20 35 12 25 26 10 28 22 28 34 33 16 21 26 9 26 24 23 26 26 1 23 4 0 8 23 12 19 32 26 18 17 35 12 12 33 14 11 29 5 3 24 2 36 5 31 21 4 15 7 34 3 36 7 1 17 8 34 23 3 14 38 7 32 9 0 38 5 21 27 8 20 33 1 10 10 39 19 16 25 27 3 36 35 19 38 28 25 21 12 26 6 12 15 0 27 32 18 22 15 1 -1 37 12 38 5 5 22 3 -1 18 14 29 12 11 25 9 12 31 34 35 
8 25 9 22 14 34 14 36 33 9 28 1 2 36 9 23 17 5 -1 0 21 0 19 29 39 18 31 23 0 32 29 23 5 37 1 15 1 2 13 2 21 3 16 34 36 0 6 36 19 36 25 33 36 21 7 36 8 22 14 33 35 38 -1 2 1 -1 15 20 36 12 4 11 27 29 26 12 36 21 20 8 5 15 39 7 30 10 38 15 21 21 23 4 -1 27 18 29 8 12 15 12 5 15 18 2 16 21 29 18 27 19 11 15 37 0 8 37 9 36 -1 23 32 27 5 4 18 33 39 0 38 29 15 22 5 17 0 11 11 7 25 30 15 14 33 28 31 0 28 10 3 39 39 25 25 7 32 7 8 16 25 21 18 25 27 19 4 24 36 26 28 36 8 25 18 17 4 20 21 14 36 19 5 32 17 2 2 3 30 12 28 19 19 23 12 36 16 36 5 27 36 26 26 -1 5 30 33 14 31 5 38 2 24 12 12 14 17 8 23 28 21 28 27 5 22 5 7 2 25 7 37 5 24 39 23 39 1 19 5 18 7 12 18 4 25 14 19 30 31 29 18 9 12 38 31 7 4 11 32 3 16 11 23 18 38 14 0 26 13 16 28 17 5 6 18 37 18 5 11 10 5 12 23 8 32 24 14 32 1 10 2 33 13 5 35 6 10 6 8 39 -1 11 21 8 34 25 4 26 2 8 2 7 39 4 14 15 1 10 2 17 10 26 25 1 38 32 14 31 12 2 17 22 19 31 16 31 6 24 -1 17 32 5 12 25 10 20 11 37 18 33 20 5 0 39 24 39 23 18 0 13 27 -1 7 12 4 22 34 31 12 38 0 11 23 13 4 12 30 11 25 38 14 34 33 18 20 5 24 18 39 11 34 15 28 15 11 31 35 19 5 13 13 16 8 36 15 30 36 36 23 28 27 
10 16 0 22 17 28 35 5 37 1 22 36 29 28 28 20 38 35 14 1 22 19 25 11 0 18 23 9 1 9 8 37 37 13 10 12 32 8 37 19 14 1 29 4 16 31 8 14 24 0 3 16 -1 0 38 5 33 19 13 34 26 4 10 -1 1 16 18 24 31 30 31 11 2 29 37 7 7 20 16 22 1 19 9 35 14 28 29 9 10 12 15 32 36 6 10 6 15 11 12 10 28 12 22 8 10 30 30 26 29 30 7 36 16 35 5 8 24 9 37 8 11 38 20 28 34 19 7 30 18 1 12 37 15 1 35 17 -1 8 37 32 14 13 4 8 31 11 22 3 4 17 25 24 8 10 0 15 4 26 14 6 2 0 19 36 27 9 0 30 36 22 8 36 21 29 30 39 6 5 -1 27 4 22 12 17 21 36 23 17 34 33 17 -1 12 0 23 13 27 0 37 16 8 32 0 11 9 20 17 5 13 10 7 13 24 14 34 13 33 25 33 25 39 24 6 15 1 35 9 18 21 12 30 25 34 37 13 13 2 0 17 5 39 33 22 24 36 23 23 10 0 29 13 37 13 2 23 2 31 19 5 9 5 29 22 -1 37 37 24 37 21 8 1 19 3 8 1 31 22 -1 19 3 36 24 24 11 18 28 20 2 26 7 5 1 15 19 20 19 14 20 14 30 9 20 14 38 2 28 4 36 5 17 5 34 -1 29 3 30 11 33 1 14 28 1 22 2 30 35 29 1 30 0 7 35 37 32 9 14 5 24 35 7 12 18 33 24 25 32 4 32 9 39 22 24 22 5 18 29 0 14 26 13 30 37 6 0 13 16 25 30 34 16 12 28 10 25 35 3 10 34 17 0 19 13 0 30 21 1 15 1 10 32 -1 25 29 31 23 31 20 18 37 8 10 16 34 7 31 22 7 17 27 
8 25 9 22 14 34 14 36 33 9 28 1 2 36 9 23 17 5 -1 0 21 0 19 29 39 18 31 23 0 32 29 23 5 37 1 15 1 2 13 2 21 3 16 34 36 0 6 36 19 36 25 33 36 21 7 36 8 22 14 33 35 38 -1 2 1 -1 15 20 36 12 4 11 27 29 26 12 36 21 20 8 5 15 39 7 30 10 38 15 21 21 23 4 -1 27 18 29 8 12 15 12 5 15 18 2 16 21 29 18 27 19 11 15 37 0 8 37 9 36 -1 23 32 27 5 4 18 33 39 0 38 29 15 22 5 17 0 11 11 7 25 30 15 14 33 28 31 0 28 10 3 39 39 25 25 7 32 7 8 16 25 21 18 25 27 19 4 24 36 26 28 36 8 25 18 17 4 20 21 14 36 19 5 32 17 2 2 3 30 12 28 19 19 23 12 36 16 36 5 27 36 26 26 -1 5 30 33 14 31 5 38 2 24 12 12 14 17 8 23 28 21 28 27 5 22 5 7 2 25 7 37 5 24 39 23 39 1 19 5 18 7 12 18 4 25 14 19 30 31 29 18 9 12 38 31 7 4 11 32 3 16 11 23 18 38 14 0 26 13 16 28 17 5 6 18 37 18 5 11 10 5 12 23 8 32 24 14 32 1 10 2 35 13 5 35 6 10 6 8 39 -1 11 21 8 34 25 4 26 2 8 2 7 39 4 14 15 1 10 2 17 10 26 25 1 38 32 14 31 12 2 17 22 19 31 16 31 6 24 -1 17 32 5 12 25 10 20 11 37 18 33 20 5 0 39 24 39 23 18 0 13 27 -1 7 12 4 22 34 31 12 38 0 11 23 13 4 12 30 11 25 38 14 34 33 18 20 5 24 18 39 11 34 15 28 15 11 31 35 19 5 13 13 16 8 36 15 30 36 36 23 28 27 
