9 6 6 0 11 8 10 1 1 10 10 12 12 7 1 7 4 0 17 0 11 11 15 2 16 11 18 3 11 11 0 15 6 12 6 11 11 14 12 0 7 4 10 1 6 3 18 15 16 -1 17 12 6 6 0 6 0 9 13 3 13 13 10 1 -1 18 3 0 13 10 5 2 10 -1 8 16 0 13 13 18 0 5 5 5 17 9 12 12 6 13 3 3 10 7 10 0 14 17 17 1 1 12 16 -1 
5 8 14 1 1 1 1 3 11 11 -1 -1 0 0 0 5 5 5 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 2 14 14 2 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 12 0 0 6 0 7 15 5 9 6 18 2 15 11 0 0 7 18 10 17 15 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
5 8 14 1 1 1 1 3 11 11 -1 -1 0 0 0 5 5 5 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 2 14 14 2 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 12 0 0 6 0 7 15 5 9 6 18 2 15 11 0 0 7 18 10 17 17 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
5 8 14 1 1 1 1 3 0 11 -1 -1 0 0 0 5 5 6 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 0 14 14 1 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 10 10 5 6 0 7 15 5 6 6 18 2 15 12 0 0 7 18 10 17 17 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
9 6 6 0 11 8 10 1 1 10 10 12 12 7 1 7 4 0 17 0 11 11 15 2 16 11 18 3 11 11 0 15 6 12 6 11 11 14 12 0 7 4 10 1 6 3 18 15 16 -1 17 12 6 6 0 6 0 9 13 3 13 13 10 1 -1 18 3 0 13 10 5 2 10 -1 8 16 0 13 13 18 0 5 5 5 17 9 12 12 6 13 3 3 10 7 10 0 14 17 17 1 1 12 16 -1 
5 8 14 1 1 1 1 3 11 11 -1 -1 0 0 0 5 5 5 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 2 14 14 2 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 12 0 0 6 0 7 15 5 9 6 18 2 15 11 0 0 7 18 10 17 15 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
5 8 14 1 1 1 1 3 11 11 -1 -1 0 0 0 5 5 5 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 2 14 14 2 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 12 0 0 6 0 7 15 5 9 6 18 2 15 11 0 0 7 18 10 17 15 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
5 6 14 1 1 1 1 3 0 11 -1 -1 0 0 0 5 5 5 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 0 14 14 1 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 4 4 3 10 10 5 6 0 7 15 5 9 6 18 2 15 12 0 0 7 18 10 17 15 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
5 8 14 1 1 1 1 3 0 11 -1 -1 0 0 0 5 5 6 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 0 14 14 1 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 10 10 5 6 0 7 15 5 6 6 18 2 15 12 0 0 7 18 10 17 17 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
5 8 14 1 1 1 1 3 0 11 -1 -1 0 0 0 5 5 6 6 9 9 9 9 10 8 8 8 3 17 -1 5 17 9 0 14 14 1 12 0 7 0 18 3 16 8 3 -1 8 17 9 13 13 8 12 2 0 0 4 4 19 0 11 8 4 1 10 10 5 6 0 7 15 5 6 6 18 2 15 12 0 0 7 18 10 17 17 15 0 6 11 0 0 13 7 15 11 11 8 0 7 7 1 12 0 
