66803.0 420240.0 
84486.0 210225.0 
66803.0 420240.0 
84486.0 210225.0 
71388.0 264096.0 
69794.0 344782.0 
73330.0 254888.0 
81290.0 211970.0 
73330.0 254888.0 
78663.0 225860.0 
81290.0 211970.0 
78663.0 225860.0 
69794.0 344782.0 
66803.0 420240.0 
66803.0 420240.0 
71388.0 264096.0 
71388.0 264096.0 
69838.0 317132.0 
70718.0 300179.0 
84486.0 210225.0 
79533.0 215986.0 
79533.0 215986.0 
73330.0 254888.0 
75731.0 245638.0 
84486.0 210225.0 
71059.0 297137.0 
71388.0 264096.0 
76323.0 229350.0 
69008.0 387873.0 
66803.0 420240.0 
66803.0 420240.0 
73330.0 254888.0 
71388.0 264096.0 
66803.0 420240.0 
78663.0 225860.0 
81290.0 211970.0 
71388.0 264096.0 
69275.0 382845.0 
69794.0 344782.0 
85153.0 210225.0 
69216.0 451332.0 
69408.0 389701.0 
69277.0 449801.0 
69999.0 341458.0 
76895.0 229350.0 
79641.0 215986.0 
82134.0 211970.0 
73625.0 254888.0 
79641.0 215986.0 
71496.0 264096.0 
76134.0 245638.0 
73625.0 254888.0 
82134.0 211970.0 
71121.0 300179.0 
71450.0 266036.0 
70826.0 312664.0 
70651.0 336685.0 
76857.0 240335.0 
71121.0 300179.0 
70826.0 312664.0 
76895.0 229350.0 
76134.0 245638.0 
70527.0 340670.0 
76371.0 241524.0 
69999.0 341458.0 
71450.0 266036.0 
70651.0 336685.0 
76371.0 241524.0 
70527.0 340670.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
69999.0 341458.0 
70826.0 312664.0 
70826.0 312664.0 
79641.0 215986.0 
79641.0 215986.0 
79641.0 215986.0 
79641.0 215986.0 
79641.0 215986.0 
76134.0 245638.0 
76134.0 245638.0 
76134.0 245638.0 
76134.0 245638.0 
71121.0 300179.0 
71121.0 300179.0 
71121.0 300179.0 
71121.0 300179.0 
71121.0 300179.0 
71121.0 300179.0 
71121.0 300179.0 
71121.0 300179.0 
